o,d,count
3号线铁力路,3号线友谊路,40
3号线铁力路,3号线江杨北路,7
3号线镇坪路,3号线中潭路,498
3号线镇坪路,3号线曹杨路,850
3号线镇坪路,4号线镇坪路,6
3号线镇坪路,7号线镇坪路,203
3号线长江南路,3号线殷高西路,249
3号线长江南路,3号线淞发路,72
3号线龙漕路,12号线龙漕路,61
3号线龙漕路,3号线漕溪路,311
3号线龙漕路,3号线石龙路,74
4号线上海体育场,4号线上海体育馆,229
4号线上海体育场,4号线东安路,305
4号线上海体育馆,1号线上海体育馆,124
4号线上海体育馆,4号线上海体育场,322
4号线上海体育馆,4号线宜山路,243
4号线上海火车站,1号线上海火车站,29
4号线上海火车站,3号线上海火车站,22
4号线上海火车站,4号线中潭路,170
4号线上海火车站,4号线宝山路,272
4号线世纪大道,2号线世纪大道,305
4号线世纪大道,4号线浦东大道,389
4号线世纪大道,4号线浦电路,399
4号线世纪大道,6号线世纪大道,43
4号线世纪大道,9号线世纪大道,116
4号线东安路,4号线上海体育场,289
4号线东安路,4号线大木桥路,334
4号线东安路,7号线东安路,72
4号线中山公园,2号线中山公园,28
4号线中山公园,3号线中山公园,3
4号线中山公园,4号线延安西路,101
4号线中山公园,4号线金沙江路,24
4号线中潭路,3号线中潭路,15
4号线中潭路,4号线上海火车站,206
4号线中潭路,4号线镇坪路,155
4号线临平路,4号线大连路,510
4号线临平路,4号线海伦路,394
4号线南浦大桥,4号线塘桥,331
4号线南浦大桥,4号线西藏南路,209
4号线塘桥,4号线南浦大桥,202
4号线塘桥,4号线蓝村路,312
4号线大木桥路,12号线大木桥路,54
4号线大木桥路,4号线东安路,274
4号线大木桥路,4号线鲁班路,358
4号线大连路,12号线大连路,131
4号线大连路,4号线临平路,347
4号线大连路,4号线杨树浦路,483
4号线宜山路,3号线宜山路,82
4号线宜山路,4号线上海体育馆,204
4号线宜山路,4号线虹桥路,95
4号线宜山路,9号线宜山路,25
4号线宝山路,3号线宝山路,164
4号线宝山路,4号线上海火车站,216
4号线宝山路,4号线海伦路,552
4号线延安西路,3号线延安西路,2
4号线延安西路,4号线中山公园,36
4号线延安西路,4号线虹桥路,125
4号线曹杨路,11号线曹杨路,33
4号线曹杨路,3号线曹杨路,8
4号线曹杨路,4号线金沙江路,81
4号线曹杨路,4号线镇坪路,109
4号线杨树浦路,4号线大连路,308
4号线杨树浦路,4号线浦东大道,549
4号线浦东大道,4号线世纪大道,521
4号线浦东大道,4号线杨树浦路,323
4号线浦电路,4号线世纪大道,272
4号线浦电路,4号线蓝村路,187
4号线浦电路,6号线浦电路,10
4号线海伦路,10号线海伦路,219
4号线海伦路,4号线临平路,516
4号线海伦路,4号线宝山路,380
4号线蓝村路,4号线塘桥,182
4号线蓝村路,4号线浦电路,377
4号线蓝村路,6号线蓝村路,19
4号线虹桥路,10号线虹桥路,57
4号线虹桥路,3号线虹桥路,6
4号线虹桥路,4号线宜山路,163
4号线虹桥路,4号线延安西路,38
4号线西藏南路,4号线南浦大桥,379
4号线西藏南路,4号线鲁班路,250
4号线西藏南路,8号线西藏南路,107
4号线金沙江路,13号线金沙江路,28
4号线金沙江路,3号线金沙江路,1
4号线金沙江路,4号线中山公园,89
4号线金沙江路,4号线曹杨路,45
4号线镇坪路,3号线镇坪路,12
4号线镇坪路,4号线中潭路,193
4号线镇坪路,4号线曹杨路,113
4号线镇坪路,7号线镇坪路,44
4号线鲁班路,4号线大木桥路,243
4号线鲁班路,4号线西藏南路,351
5号线东川路,5号线剑川路,183
5号线东川路,5号线金平路,59
5号线剑川路,5号线东川路,83
5号线剑川路,5号线北桥,210
5号线北桥,5号线剑川路,90
5号线北桥,5号线颛桥,262
5号线华宁路,5号线文井路,50
5号线华宁路,5号线金平路,47
5号线文井路,5号线华宁路,17
5号线文井路,5号线闵行开发区,21
5号线春申路,5号线莘庄,344
5号线春申路,5号线银都路,129
5号线莘庄,1号线莘庄,344
5号线莘庄,5号线春申路,131
5号线金平路,5号线东川路,99
5号线金平路,5号线华宁路,57
5号线银都路,5号线春申路,319
5号线银都路,5号线颛桥,118
5号线闵行开发区,5号线文井路,16
5号线颛桥,5号线北桥,102
5号线颛桥,5号线银都路,297
6号线上南路,6号线华夏西路,86
6号线上南路,6号线灵岩南路,42
6号线上海儿童医学中心,6号线临沂新村,74
6号线上海儿童医学中心,6号线蓝村路,341
6号线世纪大道,2号线世纪大道,456
6号线世纪大道,4号线世纪大道,95
6号线世纪大道,6号线浦电路,221
6号线世纪大道,6号线源深体育中心,201
6号线世纪大道,9号线世纪大道,161
6号线东方体育中心,11号线东方体育中心,78
6号线东方体育中心,6号线灵岩南路,19
6号线东方体育中心,8号线东方体育中心,34
6号线东明路,13号线东明路,66
6号线东明路,6号线高科西路,242
6号线东明路,6号线高青路,29
6号线东靖路,6号线五洲大道,103
6号线东靖路,6号线巨峰路,158
6号线临沂新村,6号线上海儿童医学中心,316
6号线临沂新村,6号线高科西路,75
6号线云山路,6号线德平路,522
6号线云山路,6号线金桥路,112
6号线五洲大道,6号线东靖路,118
6号线五洲大道,6号线洲海路,95
6号线五莲路,6号线博兴路,257
6号线五莲路,6号线巨峰路,101
6号线北洋泾路,6号线德平路,133
6号线北洋泾路,6号线民生路,623
6号线华夏西路,6号线上南路,23
6号线华夏西路,6号线高青路,137
6号线博兴路,6号线五莲路,89
6号线博兴路,6号线金桥路,380
6号线外高桥保税区北站,6号线港城路,5
6号线外高桥保税区北站,6号线航津路,41
6号线外高桥保税区南站,6号线洲海路,80
6号线外高桥保税区南站,6号线航津路,66
6号线巨峰路,12号线巨峰路,68
6号线巨峰路,6号线东靖路,103
6号线巨峰路,6号线五莲路,194
6号线德平路,6号线云山路,121
6号线德平路,6号线北洋泾路,597
6号线民生路,6号线北洋泾路,147
6号线民生路,6号线源深体育中心,662
6号线洲海路,6号线五洲大道,102
6号线洲海路,6号线外高桥保税区南站,90
6号线浦电路,4号线浦电路,11
6号线浦电路,6号线世纪大道,234
6号线浦电路,6号线蓝村路,117
6号线港城路,6号线外高桥保税区北站,24
6号线源深体育中心,6号线世纪大道,671
6号线源深体育中心,6号线民生路,165
6号线灵岩南路,6号线上南路,48
6号线灵岩南路,6号线东方体育中心,84
6号线航津路,6号线外高桥保税区北站,41
6号线航津路,6号线外高桥保税区南站,61
6号线蓝村路,4号线蓝村路,126
6号线蓝村路,6号线上海儿童医学中心,92
6号线蓝村路,6号线浦电路,289
6号线金桥路,6号线云山路,445
6号线金桥路,6号线博兴路,84
6号线高科西路,6号线东明路,40
6号线高科西路,6号线临沂新村,290
6号线高科西路,7号线高科西路,110
6号线高青路,6号线东明路,207
6号线高青路,6号线华夏西路,29
